Name,Price,Category,Question,Answer,Company,PriceQ,PriceA,CompanyQ,CompanyA,VariantQ,VariantA
Oreo,20,Biscuit,What is Oreo?,Oreo is sandwich cookie consisting of two chocolate wafers with a sweet creme filling biscuit.,LU,What is the price of Oreo?,The price of Oreo is 20rs,Who is the manufacturer of Oreo?,The manufacturer of Oreo is LU,How many variants are there of Oreo?,
Cocomo,10,Biscuit,What is Cocomo?,Cocomo is a crunchy biscuit with a creamy chocolate filling with different chocolate flavors ,CandyLand,What is the price of Cocomo?,The price of Cocomo is 10rs,Who is the manufacturer of Cocomo?,The manufacturer of Cocomo is CandyLand,How many variants are there of Cocomo?,
Special,20,Biscuit,What is Special?,"Mayfair Special is a type of crunchy, sweet, and golden biscuit",Hilal,What is the price of Special?,The price of Special is 20rs,Who is the manufacturer of Special?,The manufacturer of Special is Hilal,How many variants are there of Special?,
Sooper,20,Biscuit,What is Sooper?,Sooper is egg and milk flavor biscuit,Hilal,What is the price of Sooper?,The price of Sooper is 20rs,Who is the manufacturer of Sooper?,The manufacturer of Sooper is Hilal,How many variants are there of Sooper?,
Milcolu,20,Biscuit,What is Milcolu?,"Milcolu is a double milk sandwich biscuit, it has a creamy, rich milk-flavored filling between two crunchy biscuits",Hilal,What is the price of Milcolu?,The price of Milcolu is 20rs,Who is the manufacturer of Milcolu?,The manufacturer of Milcolu is Hilal,How many variants are there of Milcolu?,
Milkabisk,20,Biscuit,What is Milkabisk?,Milkabisk is a milk and wheat biscuit,LU,What is the price of Milkabisk?,The price of Milkabisk is 20rs,Who is the manufacturer of Milkabisk?,The manufacturer of Milkabisk is LU,How many variants are there of Milkabisk?,
Butter Puff,20,Biscuit,What is Butter Puff?,"Butter Puff biscuit is a flaky, airy biscuit or cracker with a rich, buttery flavor and a crispy texture",LU ,What is the price of Butter Puff?,The price of Butter Puff is 20rs,Who is the manufacturer of Butter Puff?,The manufacturer of Butter Puff is LU ,How many variants are there of Butter Puff?,
Marie,20,Biscuit,What is Marie?,"Marie biscuit is a thin, dry, round, and slightly sweet biscuit",Hilal,What is the price of Marie?,The price of Marie is 20rs,Who is the manufacturer of Marie?,The manufacturer of Marie is Hilal,How many variants are there of Marie?,
Peanut Pik,20,Biscuit,What is Peanut Pik?,"Peanut Pik biscuit is a crunchy, nutty snack biscuit ",Hilal,What is the price of Peanut Pik?,The price of Peanut Pik is 20rs,Who is the manufacturer of Peanut Pik?,The manufacturer of Peanut Pik is Hilal,How many variants are there of Peanut Pik?,
Gala,20,Biscuit,What is Gala?,"Gala is a light, crispy, and slightly sweet biscuit",LU ,What is the price of Gala?,The price of Gala is 20rs,Who is the manufacturer of Gala?,The manufacturer of Gala is LU ,How many variants are there of Gala?,
Candy,20,Biscuit,What is Candy?,Candy is a hard dark biscuit filled with sugar,CandyLand,What is the price of Candy?,The price of Candy is 20rs,Who is the manufacturer of Candy?,The manufacturer of Candy is CandyLand,How many variants are there of Candy?,
Peanut Pista,20,Biscuit,What is Peanut Pista?,peanut pista biscuit is a type of crunchy biscuit made with a mix of peanuts and pistachios,Hilal,What is the price of Peanut Pista?,The price of Peanut Pista is 20rs,Who is the manufacturer of Peanut Pista?,The manufacturer of Peanut Pista is Hilal,How many variants are there of Peanut Pista?,
